PERSON_ID,PUBLICATION_ID,PUBLISHED_NAME
7761,2449478,AJ Bailey
6028,2459679,LC Brown
5118,2473969,MJ Benton
16773,2509208,AD Dick
24008,2517544,A.M Barrett
9340,2559964,GS Hogan-Brun
22622,2564257,INM Day
24429,2603849,PR Madeddu
9309,2637223,Julian Rivers
5118,2661121,MJ Benton
31171,2665237,CB Smith
16290,2697262,M.J Hurcombe
32190,2711025,NJK Howden
21258,2738704,P Richards
25435,2777706,MJ Toscano
21419,2852066,SL Childs
20795,2871685,PJ Valdes
28319,2921024,NJ Timpson
23099,8230048,Jeffrey M. Brunstrom
12147,8288395,S. L. Kearns
1997,8339896,Roger Middleton
17488,8460740,Carl P. Dettmann
13547,8710892,Aidan M Dodson
13547,8711863,Aidan M Dodson
33611,8714692,Jonny  Williams
5300,8733733,Ian R Farrow
50711,17066118,O. J. Nixon-Pearson
45459,19146831,Raffaele Santagati
48823,22219612,Mark Woodward
2617,30092456,Frankie M MacMillan
11132,33878855,Paul W May
56831,34759741,Syed G Mohiuddin
23532,34946992,Charl F J Faul
57512,35732751,Oliver S P Davis
28568,39385125,Dario Di Maio
20771,39658571,Andrew R L Medford
29991,40048251,Pierre Friedlingstein
20934,48423883,J. Eggers
55697,49100859,Carole Fureix
27633,52495081,Carwyn Ward
35473,53584699,Nicholas Turner
61308,64319091,Paul B Willis
26886,2335195,Trevor D. Wooley
14113,2348885,PJ Bingley
19442,2413131,WT Hamilton
23530,2508390,AM Achim
14455,2519873,JA Leendertz
28015,2652819,A Sherman
23530,2656899,AM Achim
16647,2668976,SJ Harper
14284,2694415,M Di Bernardo
9361,2726118,AR Champneys
1881,2738784,SE Hewlett
16963,2750218,HR Whay
10783,2751082,G Davey Smith
14453,2770712,CA Rogers
8156,2776913,JC Hancox
23179,2845691,GB Leckie
7192,2865566,CW Pleydell-Pearce
34730,2885008,ECJ Hart
35032,2890079,C.C Ioannou
15848,4465618,Jonathan A C Sterne
25289,4465618,Lesley Wood
18132,4931220,Simon R. Hall
8155,5145290,Simon O'Doherty
8172,6985752,Michelle M C Cini
24143,7048711,Robin B. Bedford
24396,7194834,Nello Cristianini
35852,7194834,Thomas Lansdall-Welfare
32494,7219226,Elaine C Thomas
16216,8204958,Richard M. Martin
31680,8205722,Sara V Davies
8155,8233738,Simon O'Doherty
24670,8243267,Matthew Hickman
44961,8686489,Bert Wouters
9828,8766129,Charles P Case
31863,9183363,M. A. Beaumont
32019,9260109,Simon J Sebire
46745,13628631,Diego Acosta Arcarazo
24258,15660836,Sarah L Smith
46872,18833597,Ben J Hicks
46769,26661321,Heath E. O'Brien
53205,32298160,H. A. Sparkes
18804,34598412,Adam Finn
8156,38819198,Jules C Hancox
20771,39658356,Andrew R L Medford
15454,2308297,S Ebrahim
8882,2371749,G Angelini
10605,2408140,AS Page
25625,2408789,RC Williamson
18608,2436160,Frederick R. Manby
132,2437208,MG Anderson
11303,2445694,GC Coles
36160,2479742,AB Young
22681,2479742,C Hu
24657,2489836,A Skordas
25388,2541424,M Klemm
12705,2575706,AD Marsh
11519,2575706,DS Cowan
23527,2613866,IM Watson
18614,2614597,S Pellegrin
29297,2631303,SD Simpson
19209,2643731,SCM Choisy
24526,2665341,C Emanueli
23177,2703012,MD Brown
26811,2707343,MJ Ailes
31733,2732098,KA Wilkinson
9668,2800287,RP Evershed
18346,2809246,J McLellan
20039,2812729,W.P. Aspinall
10452,2849817,D Sharp
27553,2857734,R.R.G Pite
24175,2860102,J.M Masson
9067,2867762,J Briscoe
28015,2903081,KT Tsaneva-Atanasova
29610,2948381,DJ Jackson
18136,2983785,RE Deakin Crick
7483,4822617,Rosemary Greenwood
35867,7037350,Christoph W\00FClfing
36913,8175632,Angeliki Papadaki
5010,8214323,M J Miles
17916,8414047,Rachael Gooberman-Hill
55108,8446599,Gianfranco Pintus
4958,8630825,R S J Sparks
45674,8750051,R G Morgan
46554,8930723,M. R. F. Lee
5116,9078810,Greg P Heath
33084,9656788,R. Ramalho
16976,14947359,Simon M D Armour
17508,17112230,E G Clark
32707,32170949,Janet L Orchard
7481,32399293,J. Donovan
57326,46469571,Jonathan Clayden
21169,48820498,Colin Davis
56082,63695472,Annette Bergemann
61086,89112627,Rebecca Ruth Gould
57868,90536219,Setor Kunutsor
