ORGANISATION_CODE,ORGANISATION_TYPE,FULL_NAME,SHORT_NAME,URL
DRAM,ACADEMIC DEPARTMENT,"Department of Drama: Theatre, Film, Television","Drama: Theatre, Film, Television",http://www.bristol.ac.uk/drama/
FREN,ACADEMIC DEPARTMENT,Department of French,French,http://www.bristol.ac.uk/french/
GERM,ACADEMIC DEPARTMENT,Department of German,German,http://www.bristol.ac.uk/german/
THRS,ACADEMIC DEPARTMENT,Department of Religion and Theology,Religion and Theology,http://www.bristol.ac.uk/thrs/
SHCT,ADMIN SUBUNIT,Senate House Catering,Senate House Catering,
REFE,ADMIN SUBUNIT,Refectory Catering,Refectory Catering,
ECSH,ACADEMIC UNIT,Economic & Social History,Economic & Social History,
AUCC,ADMIN SUBUNIT,Avon Universities Computing Consortium,Avon Universities Computing Consortium,
ILRT,ADMIN UNIT,Institute for Learning and Research Technology,Institute for Learning and Research Technology,http://www.ilrt.bris.ac.uk/
HOSP,ACADEMIC DEPARTMENT,Hospital Medicine,Hospital Medicine,
SINC,ACADEMIC SUBUNIT,Sinclair House,Sinclair House,http://www.bris.ac.uk/Depts/Manor/
ACCT,ACADEMIC UNIT,Accountancy,Accountancy,
DTON,ACADEMIC UNIT,Dartington Social Research Centre,Dartington Social Research Centre,
CERC,ACADEMIC UNIT,Centre for Communications Research (URC),Centre for Communications Research (URC),http://www.bris.ac.uk/ccr/
COCA,ADMIN UNIT,Conference & Catering Services,Conference & Catering Services,
SRES,ACADEMIC UNIT,Residences Office,Residences Office,
STUS,ADMIN UNIT,Student Services,Student Services,http://www.bristol.ac.uk/studentservices/
MBAI,ACADEMIC UNIT,Graduate School of International Business,Graduate School of International Business,http://www.bris.ac.uk/Depts/MBA/
PATH,ACADEMIC DEPARTMENT,Department of Pathology,Pathology,
PREU,ACADEMIC UNIT,Prison Education Unit,Prison Education Unit,
OPTH,ACADEMIC UNIT,Ophthalmology,Ophthalmology,http://www.bris.ac.uk/ophthalmology/
SECO,ADMIN DEPARTMENT,University Secretary's Office,University Secretary's Office,http://www.bris.ac.uk/secretary
